Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
31,"Seferian-Jenkins, Austin",TBB,TE,66.4,15.9,35.9,444.9,3.8,1.3,1.3,0.0,0.0,1.1,0.0,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,20.4,67.3
32,"Fells, Darren",ARZ,TE,39.0,10.2,26.7,380.7,4.9,1.0,2.5,1.3,0.0,0.0,0.0,1.5,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,11.4,67.2
33,"Kendricks, Lance",RAM,TE,72.5,17.7,43.6,487.2,2.5,0.3,0.0,0.8,1.2,0.0,0.3,1.9,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,18.2,63.9
34,"Tamme, Jacob",ATL,TE,75.6,29.5,52.0,549.5,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.3,29.5,58.2
35,"Celek, Brent",PHI,TE,44.2,16.0,33.0,446.0,2.3,1.2,1.0,0.0,0.2,0.0,0.0,1.8,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.4,16.2,57.9
36,"Griffin, Ryan",HOU,TE,56.6,13.0,29.5,321.8,2.6,2.1,0.5,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.2,12.0,47.3
37,"Higbee, Tyler",RAM,TE,61.3,13.6,39.0,365.0,1.4,0.0,0.0,0.7,0.7,0.0,0.0,1.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,14.3,44.8
38,"Willson, Luke",SEA,TE,37.9,9.2,25.0,329.9,1.7,0.0,0.0,1.6,0.0,0.0,0.1,1.3,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,9.0,44.3
39,"Donnell, Larry",NYG,TE,54.2,22.8,36.1,303.4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,22.8,42.3
40,"Rivera, Mychal",OAK,TE,57.4,16.6,34.0,316.6,1.7,0.9,0.4,0.3,0.0,0.0,0.0,1.3,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,16.2,41.7
41,"Pruitt, MyCole",MIN,TE,60.0,20.0,36.0,350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,12.7,0.0,6.3,41.0
42,"Gillmore, Crockett",BAL,TE,35.1,11.4,22.8,274.9,1.9,0.6,0.5,0.9,0.0,0.0,0.0,1.1,0.5,0.2,0.1,0.0,0.0,0.0,1.2,0.0,11.4,38.9
43,"Stevens, Craig",TEN,TE,33.1,13.5,18.8,194.2,3.0,0.0,1.6,1.5,0.0,0.0,0.0,0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,12.9,37.7
44,"Celek, Garrett",SFO,TE,35.1,13.1,21.5,248.1,1.9,1.3,0.7,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,11.2,36.3
45,"Davis, Vernon",WAS,TE,59.1,20.7,35.7,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,19.2,35.0
46,"Doyle, Jack",IND,TE,44.2,13.8,30.3,220.8,1.7,1.5,0.0,0.0,0.0,0.0,0.3,0.9,0.4,0.1,0.1,0.6,0.0,0.0,6.3,0.0,14.1,33.1
47,"Sims, Dion",MIA,TE,36.7,11.9,23.8,235.3,1.1,0.2,0.9,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.8,11.9,28.7
