Rank,Player,Team,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
25,"Brown, Antonio",PIT,WR,0.0,0.0,26.3,0.0,118.0,1785.0,11.0,2.2,245.8
26,"Brady, Tom",NEP,QB,3408.7,26.4,51.5,2.0,0.0,0.0,0.0,0.7,241.5
27,"Flacco, Joe",BAL,QB,3900.0,22.9,61.3,2.6,0.0,0.0,0.0,1.4,230.3
28,"Beckham, Odell",NYG,WR,0.0,0.0,12.2,0.0,96.8,1481.0,13.3,0.2,228.9
29,"Bradford, Sam",MIN,QB,4065.4,18.9,91.0,0.7,0.0,0.0,0.0,3.7,218.4
30,"Miller, Lamar",HOU,RB,0.0,0.0,1198.0,8.0,43.0,340.0,2.7,1.4,215.0
31,"Gronkowski, Rob",NEP,TE,0.0,0.0,0.0,0.0,88.0,1329.6,13.1,0.0,211.7
32,"Peterson, Adrian",MIN,RB,0.0,0.0,1271.3,10.0,33.5,228.0,1.0,3.1,209.8
33,"Prescott, Dak",DAL,QB,3484.3,22.5,81.5,0.0,0.0,0.0,0.0,1.9,205.3
34,"Bryant, Dez",DAL,WR,0.0,0.0,0.0,0.0,87.9,1349.7,11.3,0.0,203.0
35,"Johnson, David",ARZ,RB,0.0,0.0,834.9,9.0,49.2,493.2,2.8,1.6,200.4
36,"Robinson, Allen",JAC,WR,0.0,0.0,0.0,0.0,80.6,1305.3,11.5,0.2,200.2
37,"McCoy, LeSean",BUF,RB,0.0,0.0,1086.3,8.0,38.1,309.3,1.7,2.2,193.2
38,"Nelson, Jordy",GBP,WR,0.0,0.0,25.8,0.0,81.5,1230.4,10.7,0.0,192.0
39,"Jeffery, Alshon",CHI,WR,0.0,0.0,4.4,0.0,92.7,1275.0,10.7,0.0,191.9
40,"Bell, Le'Veon",PIT,RB,0.0,0.0,925.0,7.0,51.0,465.0,2.0,1.0,190.9
41,"Freeman, Devonta",ATL,RB,0.0,0.0,925.1,9.1,39.6,435.3,0.8,2.4,190.7
42,"Elliott, Ezekiel",DAL,RB,0.0,0.0,1225.0,7.9,30.0,295.0,0.0,4.6,190.3
43,"Osweiler, Brock",HOU,QB,3083.0,19.8,54.0,1.4,0.0,0.0,0.0,4.5,188.9
44,"Cooks, Brandin",NOR,WR,0.0,0.0,32.8,0.6,91.5,1240.5,9.6,0.0,188.4
45,"Rawls, Thomas",SEA,RB,0.0,0.0,1175.0,9.0,18.6,154.5,0.7,2.2,186.9
46,"Hopkins, DeAndre",HOU,WR,0.0,0.0,0.0,0.0,99.3,1350.5,8.2,0.2,184.6
47,"Watkins, Sammy",BUF,WR,0.0,0.0,4.7,0.0,77.4,1254.7,9.3,0.5,180.8
48,"Evans, Mike",TBB,WR,0.0,0.0,0.0,0.0,79.4,1275.5,8.2,0.9,175.1
49,"Jones, Julio",ATL,WR,0.0,0.0,0.3,0.0,100.7,1443.3,5.5,1.3,174.9
50,"Cooper, Amari",OAK,WR,0.0,0.0,-5.6,0.0,93.2,1304.9,7.7,0.9,174.1
51,"Decker, Eric",NYJ,WR,0.0,0.0,14.1,0.0,87.6,1092.7,10.5,0.5,172.7
52,"Ingram, Mark",NOR,RB,0.0,0.0,945.8,7.7,45.3,332.2,0.2,1.3,172.3
53,"Cobb, Randall",GBP,WR,0.0,0.0,47.9,0.0,81.0,1125.0,9.0,0.0,171.7
54,"Allen, Keenan",SDC,WR,0.0,0.0,0.0,0.0,105.0,1225.0,8.0,1.0,168.4
55,"Martin, Doug",TBB,RB,0.0,0.0,1244.9,4.7,32.9,250.5,0.2,5.4,168.0
56,"Lacy, Eddie",GBP,RB,0.0,0.0,1000.1,4.7,27.6,272.6,2.8,2.3,167.6
57,"Griffin III, Robert",CLE,QB,2914.9,12.7,304.2,1.0,0.0,0.0,0.0,7.3,167.5
58,"Murray, DeMarco",TEN,RB,0.0,0.0,835.0,6.6,50.0,405.0,1.1,1.2,167.5
59,"Charles, Jamaal",KCC,RB,0.0,0.0,936.1,7.0,30.5,238.9,2.3,3.0,167.5
60,"Hyde, Carlos",SFO,RB,0.0,0.0,1015.0,5.0,36.0,295.0,1.0,0.9,165.1
61,"Langford, Jeremy",CHI,RB,0.0,0.0,745.0,5.0,51.5,495.4,2.0,0.6,164.9
62,"Thomas, Demaryius",DEN,WR,0.0,0.0,0.0,0.0,95.0,1230.8,6.5,1.1,161.3
63,"Baldwin, Doug",SEA,WR,0.0,0.0,4.9,0.0,71.9,987.4,10.4,0.5,160.5
64,"Landry, Jarvis",MIA,WR,0.0,0.0,61.8,0.6,107.2,1150.0,6.0,0.9,159.7
65,"Marshall, Brandon",NYJ,WR,0.0,0.0,0.0,0.0,80.3,1073.7,8.9,1.2,158.5
66,"Hilton, T.Y.",IND,WR,0.0,0.0,7.8,0.0,65.7,1092.7,8.0,0.5,157.1
67,"Forte, Matt",NYJ,RB,0.0,0.0,764.6,4.3,43.3,380.3,3.0,1.0,156.3
68,"Hill, Jeremy",CIN,RB,0.0,0.0,864.9,9.6,21.8,133.1,0.7,2.7,156.0
69,"Floyd, Michael",ARZ,WR,0.0,0.0,5.7,0.0,64.6,1082.5,7.8,0.0,155.6
70,"Tate, Golden",DET,WR,0.0,0.0,32.5,0.0,93.9,983.9,8.0,0.8,148.1
71,"Wentz, Carson",PHI,QB,3076.5,16.9,56.2,0.4,0.0,0.0,0.0,5.7,148.1
72,"Moncrief, Donte",IND,WR,0.0,0.0,0.9,0.0,87.9,1045.3,7.2,0.0,147.9
73,"Murray, Latavius",OAK,RB,0.0,0.0,965.8,5.0,39.4,246.7,0.0,1.6,147.8
74,"Benjamin, Kelvin",CAR,WR,0.0,0.0,13.0,0.0,63.5,900.7,9.4,0.6,146.5
75,"Anderson, C.J.",DEN,RB,0.0,0.0,865.0,7.0,36.6,220.1,0.0,2.0,146.5
76,"West, Terrance",BAL,RB,0.0,0.0,784.6,5.0,28.0,265.0,2.4,2.3,144.7
77,"Green, A.J.",CIN,WR,0.0,0.0,2.6,0.0,70.1,1019.0,7.7,1.8,144.7
78,"Jennings, Rashad",NYG,RB,0.0,0.0,890.7,4.3,32.7,304.1,0.5,1.9,143.9
79,"Reed, Jordan",WAS,TE,0.0,0.0,0.0,0.0,76.6,874.6,9.8,1.6,143.1
80,"Edelman, Julian",NEP,WR,0.0,0.0,40.2,0.0,95.3,1049.7,5.9,0.8,142.9
81,"Hurns, Allen",JAC,WR,0.0,0.0,0.0,0.0,64.7,915.3,8.4,0.5,141.4
82,"Lockett, Tyler",SEA,WR,0.0,0.0,31.9,0.0,62.6,924.7,7.7,0.6,140.7
83,"Blount, LeGarrette",NEP,RB,0.0,0.0,648.6,6.1,28.2,264.2,2.1,0.0,140.3
84,"Gordon, Melvin",SDC,RB,0.0,0.0,825.0,4.0,50.0,321.0,1.0,2.6,139.3
85,"Matthews, Jordan",PHI,WR,0.0,0.0,0.0,0.0,69.0,901.6,8.4,0.7,139.2
86,"Jackson, DeSean",WAS,WR,0.0,0.0,5.3,0.0,55.9,945.0,7.6,1.1,138.7
87,"Stewart, Jonathan",CAR,RB,0.0,0.0,915.5,5.8,16.2,101.5,0.9,1.8,138.1
88,"Gore, Frank",IND,RB,0.0,0.0,895.1,4.6,26.3,207.1,0.8,2.7,137.5
89,"Mathews, Ryan",PHI,RB,0.0,0.0,603.0,7.0,38.1,280.1,1.6,1.3,137.1
90,"McCown, Josh",CLE,QB,2405.0,9.2,154.0,1.2,0.0,0.0,0.0,4.3,136.6
91,"Jones, Matt",WAS,RB,0.0,0.0,675.0,4.0,32.7,380.1,1.5,1.9,134.9
92,"Jackson, Vincent",TBB,WR,0.0,0.0,0.0,0.0,75.5,1095.1,4.0,0.9,133.6
93,"Lynch, Paxton",DEN,QB,2495.0,14.0,-6.0,0.0,0.0,0.0,0.0,0.0,131.2
94,"Abdullah, Ameer",DET,RB,0.0,0.0,725.0,4.0,31.7,263.3,1.5,1.5,128.7
95,"Barnidge, Gary",CLE,TE,0.0,0.0,0.0,0.0,67.8,883.3,6.7,0.0,128.6
96,"Thomas, Julius",JAC,TE,0.0,0.0,0.0,0.0,73.0,734.9,8.9,0.0,126.8
97,"Jones, Marvin",DET,WR,0.0,0.0,24.6,0.0,76.6,950.4,4.9,0.3,126.5
98,"Maclin, Jeremy",KCC,WR,0.0,0.0,12.2,0.0,72.7,888.7,6.3,0.9,126.1
99,"Foster, Arian",MIA,RB,0.0,0.0,640.0,4.0,35.0,345.0,1.0,1.1,126.1
100,"Sanders, Emmanuel",DEN,WR,0.0,0.0,18.9,0.0,65.6,948.4,5.1,1.3,125.5
101,"Bernard, Giovani",CIN,RB,0.0,0.0,684.9,1.6,49.5,422.6,0.9,0.5,125.1
102,"Austin, Tavon",RAM,WR,0.0,0.0,333.9,4.4,50.8,473.9,3.3,1.1,124.6
103,"Crabtree, Michael",OAK,WR,0.0,0.0,0.0,0.0,77.4,800.6,7.4,0.0,124.3
104,"Matthews, Rishard",TEN,WR,0.0,0.0,10.9,0.0,60.4,922.4,5.4,1.1,123.8
105,"Parker, DeVante",MIA,WR,0.0,0.0,11.9,0.0,52.0,858.4,6.0,0.3,122.9
106,"Walker, Delanie",TEN,TE,0.0,0.0,5.3,0.0,75.4,934.8,4.7,0.0,122.6
107,"Smith, Torrey",SFO,WR,0.0,0.0,2.5,0.2,51.0,784.1,7.1,0.9,122.2
108,"Wheaton, Markus",PIT,WR,0.0,0.0,23.2,0.2,59.2,888.3,4.7,0.4,120.6
109,"Kelce, Travis",KCC,TE,0.0,0.0,0.0,0.0,74.0,870.7,6.0,2.5,120.5
110,"Brown, John",ARZ,WR,0.0,0.0,13.2,0.0,56.4,851.1,5.7,0.8,118.8
111,"Woodhead, Danny",SDC,RB,0.0,0.0,300.4,1.7,61.4,540.3,4.0,0.0,118.4
112,"Fitzgerald, Larry",ARZ,WR,0.0,0.0,1.1,0.0,79.3,910.2,4.8,1.0,118.1
113,"Johnson, Duke",CLE,RB,0.0,0.0,514.9,0.0,67.6,573.3,1.5,0.0,117.5
114,"Diggs, Stefon",MIN,WR,0.0,0.0,19.7,0.0,63.3,812.5,5.6,0.0,117.2
115,"Forsett, Justin",FA,RB,0.0,0.0,895.4,1.3,35.6,168.7,1.1,2.3,116.2
116,"Powell, Bilal",NYJ,RB,0.0,0.0,499.8,2.0,50.0,411.1,1.9,0.2,113.8
117,"White, Kevin",CHI,WR,0.0,0.0,-2.5,0.0,67.0,765.0,6.0,0.0,112.3
118,"Hillman, Ronnie",FA,RB,0.0,0.0,718.3,5.3,21.8,102.7,0.0,0.9,112.0
119,"Boyd, Tyler",CIN,WR,0.0,0.0,32.9,0.9,53.1,659.3,6.0,0.3,110.6
120,"Shepard, Sterling",NYG,WR,0.0,0.0,2.2,0.0,56.6,698.1,6.6,0.0,109.3
121,"Benjamin, Travis",SDC,WR,0.0,0.0,17.3,0.0,57.2,745.6,6.0,1.5,109.3
122,"Sims, Charles",TBB,RB,0.0,0.0,465.3,0.7,47.0,485.8,2.3,1.8,109.2
123,"Gates, Antonio",SDC,TE,0.0,0.0,0.0,0.0,60.0,655.0,7.0,0.0,108.7
124,"Olsen, Greg",CAR,TE,0.0,0.0,0.0,0.0,65.4,875.9,3.7,0.7,108.6
125,"Ajayi, Jay",MIA,RB,0.0,0.0,625.0,4.0,18.0,152.0,1.0,0.0,107.7
126,"Fleener, Coby",NOR,TE,0.0,0.0,0.0,0.0,72.0,695.0,6.1,0.4,106.7
127,"Williams, DeAngelo",PIT,RB,0.0,0.0,514.7,5.6,23.6,220.3,0.0,0.6,106.2
128,"Snead, Willie",NOR,WR,0.0,0.0,1.4,0.0,66.1,936.1,2.2,0.5,106.1
129,"Aiken, Kamar",BAL,WR,0.0,0.0,-4.6,0.0,63.4,797.3,4.7,0.8,105.7
130,"Siemian, Trevor",DEN,QB,1660.0,12.5,36.8,0.6,0.0,0.0,0.0,3.0,104.5
131,"Starks, James",GBP,RB,0.0,0.0,522.3,2.6,36.9,298.3,1.6,1.6,104.1
132,"White, James",NEP,RB,0.0,0.0,163.3,2.3,48.3,506.2,3.9,0.0,103.8
133,"Sproles, Darren",PHI,RB,0.0,0.0,344.9,4.4,55.2,394.1,0.8,0.7,103.5
134,"Bennett, Martellus",NEP,TE,0.0,0.0,0.0,0.0,65.0,675.0,6.0,0.0,103.5
135,"Coleman, Tevin",ATL,RB,0.0,0.0,652.0,5.0,15.0,120.0,0.4,3.2,103.2
136,"Garcon, Pierre",WAS,WR,0.0,0.0,0.0,0.0,69.3,771.7,4.3,0.0,103.0
137,"Crowell, Isaiah",CLE,RB,0.0,0.0,609.8,4.7,14.3,130.8,0.5,1.1,102.7
138,"Ertz, Zach",PHI,TE,0.0,0.0,0.0,0.0,73.9,852.2,3.3,1.1,102.6
139,"Funchess, Devin",CAR,WR,0.0,0.0,0.2,0.0,42.2,634.0,6.7,0.6,102.5
140,"Coleman, Corey",CLE,WR,0.0,0.0,9.1,0.0,59.5,718.0,5.0,0.4,101.8
141,"Eifert, Tyler",CIN,TE,0.0,0.0,0.0,0.0,52.8,621.6,6.5,0.0,101.2
142,"Yeldon, T.J.",JAC,RB,0.0,0.0,689.9,1.2,29.9,196.1,0.8,0.0,100.7
143,"Smith, Geno",NYJ,QB,1500.9,7.9,211.5,0.0,0.0,0.0,0.0,1.3,100.7
144,"Allen, Dwayne",IND,TE,0.0,0.0,1.4,0.0,56.4,565.0,7.3,0.0,100.3
145,"Tye, Will",NYG,TE,0.0,0.0,0.0,0.0,65.9,700.1,5.0,0.2,99.6
146,"Henry, Derrick",TEN,RB,0.0,0.0,715.0,4.0,5.6,45.7,0.0,0.4,99.3
147,"Booker, Devontae",DEN,RB,0.0,0.0,640.0,5.0,13.3,86.1,0.0,2.0,98.5
148,"Britt, Kenny",RAM,WR,0.0,0.0,2.4,0.0,43.6,775.7,3.3,0.0,97.4
149,"Riddick, Theo",DET,RB,0.0,0.0,254.6,1.8,63.6,545.4,1.6,1.6,96.8
150,"Clay, Charles",BUF,TE,0.0,0.0,0.0,0.0,68.2,729.8,3.9,0.0,96.1
151,"Kearse , Jermaine",SEA,WR,0.0,0.0,1.0,0.0,46.0,624.8,5.6,0.1,96.0
152,"Lewis, Dion",NEP,RB,0.0,0.0,215.0,3.0,36.6,392.2,3.0,0.5,95.6
153,"Williams, Terrance",DAL,WR,0.0,0.0,0.0,0.0,45.0,655.0,5.0,0.0,95.5
154,"Witten, Jason",DAL,TE,0.0,0.0,0.0,0.0,70.0,670.0,5.0,0.8,95.5
155,"Smith, Steve",BAL,WR,0.0,0.0,0.0,0.0,53.6,714.8,4.1,0.3,95.3
156,"Ivory, Chris",JAC,RB,0.0,0.0,590.0,3.3,22.0,148.2,0.6,1.0,94.7
157,"Woods, Robert",BUF,WR,0.0,0.0,1.1,0.0,59.1,693.4,4.4,1.1,94.4
158,"Ginn Jr., Ted",CAR,WR,0.0,0.0,27.5,0.7,38.0,635.1,4.0,0.0,94.2
159,"Ebron, Eric",DET,TE,0.0,0.0,0.0,0.0,61.1,634.8,4.9,0.0,92.7
160,"Sanu, Mohamed",ATL,WR,0.0,0.0,53.4,1.8,57.1,655.2,1.6,0.0,91.2
161,"Cooper, Pharoh",RAM,WR,0.0,0.0,73.6,0.0,65.2,625.2,3.5,0.0,91.0
162,"Fuller, Will",HOU,WR,0.0,0.0,17.4,0.0,60.3,718.0,3.2,0.8,91.0
163,"Vereen, Shane",NYG,RB,0.0,0.0,258.7,0.5,52.8,436.2,3.1,0.0,90.8
164,"Ware, Spencer",KCC,RB,0.0,0.0,492.2,6.4,11.0,35.4,0.0,0.3,90.5
165,"Miller, Zach",CHI,TE,0.0,0.0,0.0,0.0,56.4,615.0,4.7,0.0,90.4
166,"McKinnon, Jerick",MIN,RB,0.0,0.0,358.8,1.5,40.0,335.0,2.0,0.2,89.9
167,"Adams, Davante",GBP,WR,0.0,0.0,2.3,0.0,58.9,636.0,4.1,0.0,89.8
168,"Gordon, Josh",CLE,WR,0.0,0.0,6.4,0.0,48.8,618.8,4.5,0.3,88.9
169,"Wallace, Mike",BAL,WR,0.0,0.0,4.2,0.4,48.6,627.5,4.0,0.3,88.8
170,"Johnson, Chris",ARZ,RB,0.0,0.0,737.5,1.7,10.7,68.0,0.0,1.2,88.2
171,"Williams, Karlos",FA,RB,0.0,0.0,438.3,4.7,13.5,100.3,1.2,1.0,87.4
172,"Thomas, Michael",NOR,WR,0.0,0.0,-1.9,0.0,44.0,620.0,4.0,0.0,85.8
173,"Beasley, Cole",DAL,WR,0.0,0.0,0.0,0.0,50.9,554.8,5.3,1.2,85.1
174,"Boldin, Anquan",DET,WR,0.0,0.0,2.7,0.0,56.7,650.4,3.2,0.8,82.9
175,"Brate, Cameron",TBB,TE,0.0,0.0,0.0,0.0,37.9,479.1,5.7,0.0,82.3
176,"Hogan, Chris",NEP,WR,0.0,0.0,8.1,0.0,54.8,650.0,3.1,1.1,82.0
177,"Walford, Clive",OAK,TE,0.0,0.0,0.0,0.0,46.0,520.0,5.0,0.0,82.0
178,"Inman, Dontrelle",SDC,WR,0.0,0.0,2.8,0.0,48.1,655.3,2.8,0.6,81.7
179,"Miller, Braxton",HOU,WR,0.0,0.0,0.0,0.0,47.0,575.0,4.0,0.0,81.5
180,"Allen, Javorius",BAL,RB,0.0,0.0,379.8,0.6,38.5,291.7,2.1,1.2,80.6
181,"James, Jesse",PIT,TE,0.0,0.0,1.1,0.0,48.8,479.4,5.0,0.0,80.0
182,"McDonald, Vance",SFO,TE,0.0,0.0,1.0,0.0,43.5,507.8,4.8,0.0,79.7
183,"Michael, Christine",SEA,RB,0.0,0.0,406.0,3.0,21.0,155.0,1.0,0.3,79.5
184,"Sharpe, Tajae",TEN,WR,0.0,0.0,0.3,0.0,42.0,525.0,4.0,0.0,77.9
185,"Keenum, Case",RAM,QB,1530.5,6.6,16.8,0.3,0.0,0.0,0.0,2.1,77.3
186,"Dorsett, Phillip",IND,WR,0.0,0.0,32.7,0.0,57.6,630.0,2.1,1.2,76.5
187,"Stills, Kenny",MIA,WR,0.0,0.0,0.0,0.0,36.5,523.7,4.0,0.2,75.9
188,"Cameron, Jordan",MIA,TE,0.0,0.0,0.0,0.0,50.1,529.9,3.8,0.0,75.7
189,"Washington, DeAndre",OAK,RB,0.0,0.0,324.9,0.8,39.0,319.0,1.2,0.4,75.5
190,"Smallwood, Wendell",PHI,RB,0.0,0.0,525.1,1.5,28.8,156.9,0.0,0.7,75.5
191,"Gillmore, Crockett",BAL,TE,0.0,0.0,0.0,0.0,47.5,514.0,4.0,0.0,75.4
192,"Green, Virgil",DEN,TE,0.0,0.0,0.0,0.0,39.8,473.3,4.6,0.0,75.2
193,"Rudolph, Kyle",MIN,TE,0.0,0.0,0.0,0.0,47.7,504.2,4.1,0.0,75.1
194,"Morris, Alfred",DAL,RB,0.0,0.0,614.0,1.2,10.7,58.8,0.0,0.0,74.8
195,"Wilson, Albert",KCC,WR,0.0,0.0,39.4,0.0,44.9,554.1,2.5,0.0,74.1
196,"Bush, Reggie",BUF,RB,0.0,0.0,354.2,3.0,23.0,165.0,1.0,1.0,74.1
197,"Roberts, Seth",OAK,WR,0.0,0.0,0.9,0.0,32.9,465.9,4.1,0.0,74.0
198,"Rodgers, Richard",GBP,TE,0.0,0.0,0.0,0.0,49.6,368.8,6.1,0.0,73.5
199,"Cook, Jared",GBP,TE,0.0,0.0,2.5,0.0,50.0,524.9,3.2,0.6,72.8
200,"Pryor, Terrelle",CLE,WR,0.0,0.0,1.1,0.0,39.5,536.2,3.0,0.1,71.9
201,"Graham, Jimmy",SEA,TE,0.0,0.0,0.0,0.0,46.1,544.8,2.9,0.5,71.3
202,"Treadwell, Laquon",MIN,WR,0.0,0.0,-2.4,0.0,37.0,461.1,4.0,0.0,69.9
203,"Hightower, Tim",NOR,RB,0.0,0.0,346.5,3.2,21.0,142.2,0.0,0.0,68.0
204,"Hoyer, Brian",CHI,QB,1085.4,7.7,19.5,0.0,0.0,0.0,0.0,0.3,67.4
205,"Seferian-Jenkins, Austin",TBB,TE,0.0,0.0,0.0,0.0,35.9,444.9,3.8,0.0,67.3
206,"Fells, Darren",ARZ,TE,0.0,0.0,0.0,0.0,26.7,380.7,4.9,0.0,67.2
207,"McFadden, Darren",DAL,RB,0.0,0.0,410.0,1.0,27.0,185.0,1.0,2.3,66.8
208,"West, Charcandrick",KCC,RB,0.0,0.0,410.6,2.9,12.6,99.3,0.1,1.2,66.8
209,"Green-Beckham, Dorial",PHI,WR,0.0,0.0,0.0,0.0,32.5,426.9,4.0,0.0,66.7
210,"Garoppolo, Jimmy",NEP,QB,1004.8,6.8,14.6,0.6,0.0,0.0,0.0,0.2,66.7
211,"Coates, Sammie",PIT,WR,0.0,0.0,0.0,0.0,38.0,545.0,2.0,0.0,66.6
212,"Mitchell, Malcolm",NEP,WR,0.0,0.0,4.9,0.0,43.0,480.0,3.0,0.0,66.5
213,"Rogers, Eli",PIT,WR,0.0,0.0,5.8,0.0,39.2,516.6,2.1,0.0,65.9
214,"Kelley, Rob",WAS,RB,0.0,0.0,385.0,3.0,9.2,72.7,0.5,0.4,65.7
215,"LaFell, Brandon",CIN,WR,0.0,0.0,33.4,0.0,39.2,499.6,2.0,0.0,65.3
216,"Patton, Quinton",SFO,WR,0.0,0.0,0.9,0.0,42.6,589.8,1.0,0.0,65.0
217,"Artis-Payne, Cameron",CAR,RB,0.0,0.0,333.2,1.5,15.7,138.8,1.4,0.2,64.2
218,"Kendricks, Lance",RAM,TE,0.0,0.0,0.0,0.0,43.6,487.2,2.5,0.4,63.9
219,"Shorts, Cecil",FA,WR,0.0,0.0,52.4,0.0,46.6,508.3,1.3,0.2,63.6
220,"Johnson, Charles",MIN,WR,0.0,0.0,2.9,0.0,35.7,450.0,3.0,0.9,62.5
221,"Dixon, Kenneth",BAL,RB,0.0,0.0,296.6,1.6,20.3,174.7,0.8,0.0,61.8
222,"Andrews, Antonio",TEN,RB,0.0,0.0,352.0,1.5,19.2,157.0,0.3,0.0,61.5
223,"Hardy, Justin",ATL,WR,0.0,0.0,0.0,0.0,55.4,515.2,1.4,0.0,61.0
224,"Gillislee, Mike",BUF,RB,0.0,0.0,332.7,4.3,9.8,37.1,0.0,0.9,61.0
225,"Agholor, Nelson",PHI,WR,0.0,0.0,0.0,0.0,40.2,498.2,2.2,1.2,60.6
226,"Perriman, Breshad",BAL,WR,0.0,0.0,0.0,0.0,35.0,485.0,2.0,0.0,60.5
227,"Carey, Ka'Deem",CHI,RB,0.0,0.0,324.4,2.5,11.3,114.6,0.5,1.0,59.8
228,"Conley, Chris",KCC,WR,0.0,0.0,2.9,0.0,41.9,435.1,2.6,0.0,59.7
229,"Prosise, C.J.",SEA,RB,0.0,0.0,328.0,1.0,18.0,165.0,1.0,1.2,58.8
230,"Draughn, Shaun",SFO,RB,0.0,0.0,334.7,0.9,30.8,189.5,0.2,0.4,58.2
231,"Tamme, Jacob",ATL,TE,0.0,0.0,0.0,0.0,52.0,549.5,0.6,0.3,58.2
232,"Celek, Brent",PHI,TE,0.0,0.0,0.0,0.0,33.0,446.0,2.3,0.4,57.9
233,"Thompson, Chris",WAS,RB,0.0,0.0,255.9,0.0,30.9,262.6,1.0,0.0,57.9
234,"Zenner, Zach",DET,RB,0.0,0.0,335.1,0.3,21.2,153.3,1.1,0.0,57.5
235,"Lee, Marqise",JAC,WR,0.0,0.0,33.2,0.0,35.6,427.5,1.8,0.0,56.9
236,"Moore, Marlon",FA,WR,0.0,0.0,0.8,0.0,38.4,467.2,1.5,0.6,55.0
237,"Spiller, C.J.",NOR,RB,0.0,0.0,137.6,0.4,38.1,296.9,1.8,1.4,54.0
238,"Kaepernick, Colin",SFO,QB,662.4,3.1,168.7,0.6,0.0,0.0,0.0,0.8,52.7
239,"Howard, Jordan",CHI,RB,0.0,0.0,390.0,2.0,2.3,16.6,0.0,0.0,52.7
240,"Williams, Tyrell",SDC,WR,0.0,0.0,2.5,0.0,32.0,350.0,3.0,0.3,52.6
241,"Ellington, Andre",ARZ,RB,0.0,0.0,213.5,2.6,12.9,132.9,0.6,0.8,52.1
242,"Brown, Philly",CAR,WR,0.0,0.0,24.0,0.0,26.8,364.3,2.2,0.0,51.9
243,"McCluster, Dexter",FA,RB,0.0,0.0,183.0,1.0,30.9,257.1,1.0,2.5,51.4
244,"Douglas, Harry",TEN,WR,0.0,0.0,-0.1,0.0,36.4,389.3,2.2,0.3,51.4
245,"Blue, Alfred",HOU,RB,0.0,0.0,364.7,0.9,10.2,69.3,0.2,0.3,49.8
246,"Bolden, Brandon",NEP,RB,0.0,0.0,236.2,0.6,16.4,146.2,1.3,0.0,49.7
247,"McCoy, Colt",WAS,QB,692.0,4.0,71.5,0.0,0.0,0.0,0.0,0.0,49.5
248,"Green, Ladarius",PIT,TE,0.0,0.0,0.8,0.0,32.5,315.3,2.4,0.0,48.0
