Rank,Player,Team,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
1,"Newton, Cam",CAR,QB,3999.3,30.1,658.2,10.1,0.0,0.0,0.0,5.6,373.2
2,"Wilson, Russell",SEA,QB,4106.2,32.3,626.9,2.6,0.0,0.0,0.0,1.6,348.7
3,"Rodgers, Aaron",GBP,QB,4351.8,34.6,285.3,1.6,0.0,0.0,0.0,4.0,331.0
4,"Luck, Andrew",IND,QB,4851.5,34.1,315.5,1.2,0.0,0.0,0.0,4.6,324.8
5,"Bortles, Blake",JAC,QB,4516.3,28.8,451.4,1.8,0.0,0.0,0.0,4.6,303.8
6,"Roethlisberger, Ben",PIT,QB,5069.3,28.0,44.3,0.0,0.0,0.0,0.0,2.5,297.8
7,"Cousins, Kirk",WAS,QB,4273.9,27.1,74.2,4.7,0.0,0.0,0.0,4.1,286.0
8,"Rivers, Philip",SDC,QB,4624.0,30.8,65.5,0.0,0.0,0.0,0.0,1.3,285.2
9,"Stafford, Matthew",DET,QB,4402.3,29.6,128.4,1.1,0.0,0.0,0.0,3.2,285.2
10,"Winston, Jameis",TBB,QB,4249.4,21.3,225.6,6.1,0.0,0.0,0.0,1.9,281.1
11,"Fitzpatrick, Ryan",NYJ,QB,3758.3,29.4,284.6,1.7,0.0,0.0,0.0,2.3,277.0
12,"Manning, Eli",NYG,QB,4313.6,32.0,43.5,0.4,0.0,0.0,0.0,4.2,269.8
13,"Brees, Drew",NOR,QB,4459.4,29.2,36.7,0.9,0.0,0.0,0.0,2.6,269.4
14,"Taylor, Tyrod",BUF,QB,3004.4,18.7,624.8,3.7,0.0,0.0,0.0,1.5,262.6
15,"Mariota, Marcus",TEN,QB,3950.9,24.0,271.4,1.9,0.0,0.0,0.0,6.2,261.3
16,"Gurley, Todd",RAM,RB,0.0,0.0,1424.9,14.0,36.8,341.7,0.3,1.3,260.1
17,"Smith, Alex",KCC,QB,3457.6,21.0,421.7,1.3,0.0,0.0,0.0,0.9,259.4
18,"Carr, Derek",OAK,QB,4001.0,29.2,135.9,0.0,0.0,0.0,0.0,2.9,258.8
19,"Palmer, Carson",ARZ,QB,4282.6,29.5,19.1,0.7,0.0,0.0,0.0,3.5,257.6
20,"Tannehill, Ryan",MIA,QB,4031.6,23.1,235.0,1.2,0.0,0.0,0.0,2.7,256.4
21,"Cutler, Jay",CHI,QB,3945.3,25.7,211.0,1.2,0.0,0.0,0.0,6.0,253.0
22,"Dalton, Andy",CIN,QB,3626.1,24.7,195.3,3.4,0.0,0.0,0.0,3.5,252.5
23,"Gabbert, Blaine",SFO,QB,3809.7,18.2,444.9,1.8,0.0,0.0,0.0,2.9,250.8
24,"Ryan, Matt",ATL,QB,4585.7,23.5,89.2,0.0,0.0,0.0,0.0,3.6,250.0
