Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
24,"Mathews, Ryan",PHI,RB,132.0,603.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,2.4,1.2,0.4,0.2,38.1,280.1,1.6,1.1,0.6,134.4,0.0,1.3,61.3,137.1
25,"Abdullah, Ameer",DET,RB,165.0,725.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,35.7,296.3,1.7,1.2,0.6,0.0,736.7,1.4,40.6,133.3
26,"Forsett, Justin",BAL,RB,182.9,829.6,3.9,1.8,1.6,0.4,0.0,0.0,0.0,9.7,1.7,0.6,0.2,36.1,221.9,1.1,0.9,0.4,0.0,0.0,0.8,74.3,133.2
27,"Gordon, Melvin",SDC,RB,230.0,825.0,1.2,0.5,0.2,0.2,0.2,0.0,0.0,3.3,1.6,0.5,0.2,59.4,382.6,0.5,1.5,0.8,0.0,7.5,2.8,58.3,125.8
28,"Jones, Matt",WAS,RB,149.0,624.7,2.3,1.1,0.0,0.3,0.8,0.0,0.0,2.5,1.2,0.4,0.2,36.8,427.6,1.7,1.7,0.9,0.0,0.0,1.7,57.0,125.6
29,"Bernard, Giovani",CIN,RB,154.1,684.9,1.6,0.3,1.2,0.0,0.0,0.0,0.1,2.7,1.4,0.5,0.2,49.5,422.6,0.9,1.7,0.8,0.0,3.3,0.5,67.5,125.1
30,"Gore, Frank",IND,RB,213.3,805.6,4.2,2.5,0.8,0.0,0.6,0.0,0.3,7.2,1.6,0.5,0.2,23.7,186.3,0.7,0.7,0.4,0.0,0.0,3.0,69.1,122.7
31,"Lewis, Dion",NEP,RB,81.0,360.0,3.1,1.0,2.0,0.0,0.1,0.0,0.0,0.8,0.4,0.1,0.1,52.0,535.0,2.5,1.2,0.6,0.0,0.0,0.6,35.2,122.1
32,"Johnson, Duke",CLE,RB,139.8,514.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,0.3,0.1,67.6,573.2,1.5,2.3,1.1,0.0,64.7,0.0,57.4,117.5
33,"Yeldon, T.J.",JAC,RB,173.7,695.0,2.2,1.4,0.0,0.8,0.1,0.0,0.0,2.8,1.4,0.5,0.2,36.2,280.1,0.7,1.1,0.6,0.0,0.0,0.4,73.5,114.3
34,"Powell, Bilal",NYJ,RB,103.9,499.8,2.0,0.7,1.3,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,50.0,411.1,1.9,1.8,0.9,0.0,27.5,0.2,67.8,113.8
35,"Woodhead, Danny",SDC,RB,86.2,285.4,1.6,1.6,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,58.3,513.3,3.8,2.1,1.0,0.0,10.6,0.0,56.0,112.4
36,"Blount, LeGarrette",NEP,RB,153.2,624.9,5.2,4.5,0.2,0.0,0.5,0.0,0.0,2.5,1.2,0.4,0.2,11.5,98.0,0.8,0.4,0.2,0.0,0.0,0.0,70.1,108.5
37,"Starks, James",GBP,RB,130.0,522.3,2.6,1.3,0.4,0.0,0.4,0.0,0.4,2.1,1.0,0.3,0.1,36.9,298.3,1.6,1.2,0.6,0.0,0.0,1.6,42.9,104.1
38,"McKinnon, Jerick",MIN,RB,90.9,470.9,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9,0.9,0.3,0.1,40.0,335.0,2.0,1.0,0.5,0.0,24.6,0.2,31.1,103.9
39,"Sproles, Darren",PHI,RB,88.8,344.9,4.4,4.4,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,55.2,394.1,0.8,1.6,0.8,287.4,24.2,0.7,47.9,103.5
40,"Coleman, Tevin",ATL,RB,156.0,652.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,15.0,120.0,0.4,0.3,0.1,0.0,0.0,3.2,41.6,103.2
41,"Ivory, Chris",JAC,RB,140.6,595.0,5.4,3.8,1.5,0.0,0.0,0.0,0.0,2.4,1.2,0.4,0.1,18.0,102.3,0.5,0.4,0.2,0.0,17.0,1.0,50.4,103.1
42,"Crowell, Isaiah",CLE,RB,160.8,609.8,4.7,2.6,1.6,0.4,0.0,0.0,0.0,2.4,1.2,0.4,0.2,14.3,130.8,0.5,0.5,0.3,0.0,0.0,1.1,53.3,102.7
43,"Henry, Derrick",TEN,RB,160.0,715.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,5.6,45.7,0.0,0.2,0.1,21.9,45.0,0.4,12.8,99.3
44,"Booker, Devontae",DEN,RB,155.0,640.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,13.3,86.1,0.0,0.3,0.2,0.0,0.0,2.0,40.0,98.5
45,"Riddick, Theo",DET,RB,65.0,254.6,1.8,0.5,1.3,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,63.6,545.4,1.6,2.2,1.1,0.0,165.3,1.6,43.2,96.8
46,"Howard, Jordan",CHI,RB,130.0,530.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,8.5,81.7,0.0,0.3,0.2,0.0,34.0,0.7,32.0,95.8
47,"Hightower, Tim",NOR,RB,119.2,435.3,3.9,3.6,0.3,0.0,0.0,0.0,0.0,1.7,0.9,0.3,0.1,32.4,237.2,0.9,0.9,0.5,0.0,135.2,0.8,53.7,94.6
48,"Sims, Charles",TBB,RB,94.4,398.9,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,40.3,416.4,2.0,1.7,0.8,0.0,0.0,2.1,48.1,92.5
49,"Williams, DeAngelo",PIT,RB,98.5,450.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,2.7,0.9,0.3,0.1,19.9,187.1,0.0,0.7,0.4,0.0,23.6,0.4,45.1,91.4
50,"West, Charcandrick",KCC,RB,141.7,543.8,3.6,2.7,0.3,0.0,0.6,0.0,0.0,2.2,1.1,0.4,0.1,17.5,147.7,0.3,0.6,0.3,0.0,96.2,0.8,52.5,91.1
51,"Vereen, Shane",NYG,RB,65.7,258.7,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,52.8,436.2,3.1,1.7,0.9,0.0,257.2,0.0,46.8,90.8
52,"Prosise, C.J.",SEA,RB,80.0,325.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,37.0,285.0,2.0,0.4,0.2,0.0,0.0,0.4,12.5,90.1
53,"Johnson, Chris",ARZ,RB,173.0,737.5,1.7,0.5,0.0,0.5,0.4,0.2,0.0,4.5,1.5,0.5,0.2,10.7,68.0,0.0,0.3,0.1,0.0,40.6,1.2,77.6,88.2
54,"Allen, Javorius",BAL,RB,112.6,379.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,38.5,291.7,2.1,1.2,0.6,0.0,7.8,1.2,60.0,80.6
