Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
116,"DiMarco, Patrick",ATL,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,94.1,0.4,0.4,0.2,0.0,20.3,0.0,3.6,11.9
117,"Taliaferro, Lorenzo",BAL,RB,12.8,48.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,6.0,52.1,0.0,0.2,0.1,0.0,280.1,0.4,11.6,10.4
118,"Brown, Bryce",SEA,RB,18.9,78.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,10.1
119,"Davis, Knile",KCC,RB,24.3,74.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,3.2,26.7,0.0,0.1,0.1,0.0,618.7,0.8,2.2,9.6
120,"Hunt, Akeem",HOU,RB,14.4,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,4.3,13.6,0.0,0.1,0.0,0.0,20.2,0.0,2.1,8.8
121,"Davis, Mike",SFO,RB,36.5,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,8.0,38.7,0.0,0.2,0.1,0.0,0.0,0.0,21.1,8.5
122,"Thompson, Juwan",DEN,RB,13.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,3.4,40.8,0.0,0.2,0.1,0.0,0.0,0.0,9.3,7.7
123,"Brown, Malcolm",RAM,RB,21.2,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,6.5,8.7,0.0,0.0,0.0,0.0,214.9,0.0,2.3,7.4
124,"Johnson, Gus",ATL,RB,26.4,72.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,3.8,30.0,0.0,0.1,0.1,0.0,8.0,1.5,16.7,7.2
125,"Gaskins, Kendall",SFO,RB,16.4,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,4.2,36.0,0.0,0.1,0.1,0.0,0.0,0.0,4.5,7.0
126,"Richardson, Trent",FA,RB,16.8,53.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,1.5,15.2,0.0,0.1,0.0,0.0,0.0,1.5,8.9,6.8
127,"Ridley, Stevan",DET,RB,21.9,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,6.5
128,"Drake, Kenyan",MIA,RB,26.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,2.8,14.1,0.0,0.1,0.0,0.0,210.1,0.8,7.8,5.6
129,"Barner, Kenjon",PHI,RB,5.9,30.2,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,0.0,0.4,0.8,4.9
130,"Pressley, Jhurell",MIN,RB,8.8,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.8,28.7,0.0,0.1,0.1,0.0,38.5,0.0,5.8,4.8
131,"James, Mike",TBB,RB,20.1,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,3.3,11.4,0.0,0.0,0.0,97.0,184.0,0.4,6.2,4.8
132,"Winn, George",DET,RB,9.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,28.6,0.0,0.1,0.1,0.0,14.0,0.3,1.8,3.2
133,"Collins, Alex",SEA,RB,3.7,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,9.2,0.0,0.8,2.4
134,"Brown, Mack",WAS,RB,5.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.3
135,"Wegher, Brandon",CAR,RB,5.5,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,58.9,0.0,0.2,2.3
136,"Young, Darrel",CHI,RB,4.9,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.2
137,"Sherman, Anthony",KCC,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,20.3,0.0,0.1,0.0,0.0,20.2,0.0,2.0,2.0
138,"Ervin, Tyler",HOU,RB,7.3,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.9
139,"Williams, Jonathan",BUF,RB,5.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,33.1,0.0,2.3,1.4
140,"Jackson, Darius",DAL,RB,4.2,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.4,1.7,1.3
141,"Johnson, Will",NYG,RB,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2
142,"Rainey, Bobby",NYG,RB,3.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.5,0.0,0.0,0.0,139.3,241.8,0.0,2.1,1.2
143,"Taylor, Kelvin",SFO,RB,6.4,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,4.8,0.0,0.0,3.1,1.1
144,"Peerman, Cedric",CIN,RB,2.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,7.0,0.0,0.0,0.0,0.0,38.1,0.0,0.5,0.8
145,"Atkinson, George",OAK,RB,7.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.5
146,"Richardson, Daryl",PIT,RB,2.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.9,0.0,0.0,0.0,0.0,184.7,0.0,1.7,0.5
147,"Todman, Jordan",IND,RB,1.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,4.2,0.4
148,"Ripkowski, Aaron",GBP,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
149,"Neal, Rajion",CLE,RB,1.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.8,0.0,1.6,0.2
150,"Barber, Peyton",TBB,RB,1.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,57.2,0.0,0.0,0.2
151,"Williams, Trey",IND,RB,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
152,"Mostert, Raheem",CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,-0.1
153,"Wilder, James",BUF,RB,5.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,0.9,0.0,-0.3
154,"Winston, Glenn",CLE,RB,6.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,408.9,2.2,4.1,-3.8

