Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
119,"Cruz, Victor",NYG,WR,61.8,20.1,33.3,357.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,0.7,0.0,124.3,379.3,0.3,19.3,35.2
120,"Gabriel, Taylor",CLE,WR,63.3,21.6,33.8,323.5,0.2,0.1,0.0,0.0,0.0,0.0,0.1,1.3,0.6,0.2,0.1,0.0,0.0,8.1,20.1,0.9,23.7,33.8
121,"Strong, Jaelen",HOU,WR,33.9,5.8,20.1,203.3,1.9,1.3,0.3,0.0,0.0,0.3,0.0,0.8,0.4,0.1,0.1,0.0,0.0,41.3,81.8,0.0,5.8,31.8
122,"Cooper, Pharoh",RAM,WR,59.1,18.0,20.3,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,12.0,0.0,18.0,0.0,0.0,16.6,29.7
123,"Norwood, Jordan",DEN,WR,49.5,16.0,28.1,292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,1.5,0.0,176.3,29.3,0.0,15.3,29.4
124,"Washington, Nate",NEP,WR,35.6,11.7,16.5,225.2,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0.9,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,11.1,28.7
125,"Janis, Jeff",GBP,WR,35.6,7.0,13.9,201.5,1.0,0.5,0.0,0.0,0.3,0.2,0.0,0.8,0.4,0.1,0.1,4.6,0.0,0.0,319.1,0.0,5.6,28.3
126,"Williams, Nick",ATL,WR,26.0,11.7,18.2,177.1,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,5.7,0.0,86.7,190.7,0.0,11.7,28.2
127,"Lee, Marqise",JAC,WR,45.5,10.9,19.5,220.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,31.5,0.0,23.2,0.0,0.0,11.7,27.3
128,"Lawler, Kenny",SEA,WR,18.7,4.0,3.6,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.4,0.0,0.0,44.0,0.0,4.0,25.0
129,"Quick, Brian",RAM,WR,54.8,13.3,21.8,227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,22.0,0.0,34.9,12.3,0.1,14.0,24.7
130,"Richardson, Paul",SEA,WR,25.2,7.8,16.5,220.8,0.4,0.3,0.2,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,0.0,0.0,10.1,169.1,0.0,8.1,24.7
131,"Mariani, Marc",CHI,WR,29.9,9.4,18.3,242.6,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.5,0.2,0.1,-0.6,0.0,158.6,325.4,0.8,9.0,24.6
132,"Butler, Brice",DAL,WR,30.8,9.3,16.7,232.1,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.9,0.5,0.2,0.1,10.2,0.0,35.0,173.7,0.8,9.3,24.3
133,"Thomas, De'Anthony",KCC,WR,29.1,14.3,19.6,153.4,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,36.1,0.3,266.0,192.0,0.8,17.4,23.3
134,"Bellamy, Josh",CHI,WR,28.4,7.8,15.3,174.4,0.7,0.0,0.0,0.0,0.1,0.6,0.0,0.7,0.3,0.1,0.0,3.2,0.0,2.2,41.3,0.0,7.7,22.0
135,"Thomas, Mike",RAM,WR,33.2,2.1,4.6,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,97.0,0.0,0.0,2.1,21.5
136,"Jones, T.J.",DET,WR,20.6,3.6,9.9,158.3,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,61.1,8.9,0.0,4.4,21.5
137,"Givens, Chris",PHI,WR,42.2,7.5,10.9,214.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,-1.3,0.0,0.0,0.0,0.0,8.2,21.3
138,"Thompkins, Kenbrell",NYJ,WR,46.6,4.7,18.4,210.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,0.0,0.0,210.3,9.8,0.0,2.5,21.1
139,"Lewis, Dezmin",BUF,WR,53.7,13.3,23.4,219.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,5.7,0.0,3.8,15.5,1.0,12.1,20.6
140,"Thielen, Adam",MIN,WR,26.6,6.1,14.7,171.3,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.3,0.1,0.0,22.1,0.0,0.0,99.2,0.0,6.8,20.3
141,"Abbrederis, Jared",GBP,WR,27.5,11.3,14.4,174.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,0.0,0.0,0.0,67.9,0.0,9.4,20.1
142,"Hankerson, Leonard",FA,WR,25.9,12.0,11.4,126.5,1.3,0.7,0.5,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,-1.3,0.0,25.7,202.4,0.0,12.0,20.0
143,"Montgomery, Ty",GBP,WR,22.1,8.0,10.7,110.4,1.2,1.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.1,0.0,10.0,0.0,0.0,434.5,0.0,8.0,19.3
144,"Welker, Wes",RAM,WR,33.1,9.6,21.2,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.0,0.0,0.0,78.7,0.0,0.0,8.3,19.2
145,"Herndon, Javontee",SDC,WR,37.1,5.6,26.7,204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,9.7,0.0,111.9,149.1,1.7,2.8,18.0
146,"Fowler, Bennie",DEN,WR,21.8,7.5,11.7,147.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.6,0.0,0.0,45.8,0.0,7.7,15.9
147,"Street, Devin",DAL,WR,16.0,3.6,6.7,104.2,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.4,0.2,0.1,0.0,10.4,0.0,-0.3,32.0,0.0,2.9,15.7
148,"Johnson, Charles",MIN,WR,21.7,8.4,12.0,166.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,-12.5,0.0,0.0,0.0,0.0,8.4,15.4
149,"Simpson, Jerome",SFO,WR,37.0,7.8,10.2,135.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,2.3,0.0,64.7,300.0,0.0,10.8,14.7
150,"Brown, Jaron",ARZ,WR,21.6,11.3,8.8,120.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,13.5,32.8,0.0,9.9,14.3
151,"Fuller, Corey",DET,WR,18.0,6.0,8.0,134.9,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,13.9,2.0,0.4,5.1,14.3
152,"Avant, Jason",KCC,WR,25.5,5.8,15.4,133.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.6,13.4
153,"Hester, Devin",FA,WR,17.8,6.6,10.8,121.1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.1,0.0,73.9,731.3,0.0,7.6,13.3
154,"Kerley, Jeremy",DET,WR,12.4,3.3,7.5,88.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,-0.1,0.0,287.5,22.5,0.0,3.3,12.4
155,"Matthews, Chris",BAL,WR,14.1,1.1,9.6,124.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,7.4,25.9,1.1,0.9,11.8
156,"Easley, Marcus",BUF,WR,4.6,1.6,2.8,56.0,0.9,0.2,0.0,0.0,0.2,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,7.1,54.4,0.0,2.3,11.2
157,"Bray, Quan",IND,WR,38.8,11.9,11.3,118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.2,0.0,52.7,140.1,0.4,11.6,11.1
158,"Roberts, Andre",DET,WR,19.3,6.8,8.8,108.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,12.6,402.9,0.0,6.8,10.8
159,"Dye, Donteea",TBB,WR,29.8,6.8,11.2,105.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,5.1,58.9,0.0,5.6,10.6
160,"Patterson, Cordarrelle",MIN,WR,11.2,5.5,6.3,81.6,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.3,0.2,0.1,0.0,7.8,0.0,0.0,798.9,0.6,6.2,10.5
161,"Latimer, Cody",DEN,WR,17.7,4.7,8.8,97.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,-4.0,0.0,36.9,33.0,0.0,4.3,10.1
162,"Moore, Marlon",CLE,WR,10.1,1.8,6.2,85.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,120.2,0.0,1.8,9.9
163,"Meredith, Cameron",CHI,WR,16.2,5.9,9.2,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4,9.9
164,"Higgins, Rashard",CLE,WR,30.6,7.2,7.2,91.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,-1.8,0.0,16.1,79.0,0.1,6.7,8.8
165,"Ross, Rashad",WAS,WR,8.5,1.1,4.8,75.9,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.1,0.0,0.0,0.0,0.0,650.6,0.0,1.3,8.6
166,"Whalen, Griff",MIA,WR,17.3,9.2,6.4,57.6,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,33.2,108.2,0.9,8.3,8.3
167,"Salas, Greg",BUF,WR,9.9,1.0,4.9,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,-0.8,0.0,19.8,135.0,0.0,2.6,8.3
168,"Marquez, Bradley",RAM,WR,21.2,5.7,11.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,6.8
169,"Smith, Kevin",SEA,WR,7.6,2.2,4.7,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.3
170,"Mumphery, Keith",HOU,WR,22.5,11.5,8.6,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,257.9,271.5,0.0,11.5,6.3
171,"Bersin, Brenton",CAR,WR,7.6,2.0,6.4,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.8,2.0,5.0
172,"Wright, James",CIN,WR,10.1,3.1,2.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.8,0.0,97.1,297.1,0.0,3.4,4.4
173,"Shepard, Russell",TBB,WR,11.5,5.1,2.1,28.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.1
174,"Ross, Jeremy",NYJ,WR,8.5,5.1,4.7,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,232.4,260.3,0.5,5.1,2.8
175,"McBride, Tre",TEN,WR,3.0,0.4,0.8,3.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,301.4,0.0,0.4,2.7
176,"Bell, Kenny",TBB,WR,13.3,5.6,2.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,45.3,56.2,0.0,5.6,2.3
177,"Tate, Brandon",CIN,WR,1.5,1.2,0.3,5.5,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,202.6,470.0,0.0,1.4,1.9
178,"Golden, Brittan",ARZ,WR,2.0,0.0,0.9,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,1.4
179,"Byrd, Damiere",CAR,WR,7.2,5.1,1.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.7,0.0,107.9,88.5,0.0,4.5,1.2
