Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
21,"Sanders, Emmanuel",DEN,WR,137.8,40.4,82.0,1185.5,6.4,2.3,1.5,0.0,0.6,0.4,1.5,12.7,3.3,0.8,0.3,23.6,0.0,47.0,19.1,1.1,41.2,157.9
22,"Hilton, T.Y.",IND,WR,114.7,33.5,65.7,1092.7,8.0,2.0,1.0,1.0,1.0,2.0,1.0,12.4,2.2,0.7,0.3,7.8,0.0,5.7,0.0,0.5,34.9,157.1
23,"Coates, Sammie",PIT,WR,128.1,45.2,75.3,1027.5,7.7,1.8,2.9,0.8,1.3,0.0,0.8,12.1,2.1,0.7,0.3,42.5,0.7,36.3,89.3,1.2,43.3,155.6
24,"Fitzgerald, Larry",ARZ,WR,154.3,46.0,99.1,1137.8,6.0,4.2,1.2,0.4,0.0,0.2,0.0,12.6,2.3,0.8,0.3,1.4,0.0,0.0,0.0,0.8,44.6,148.4
25,"Moncrief, Donte",IND,WR,146.8,43.5,87.9,1045.3,7.2,2.8,2.5,0.7,0.9,0.1,0.1,4.2,2.1,0.7,0.3,0.9,0.0,0.0,3.6,0.0,45.0,147.9
26,"Decker, Eric",NYJ,WR,128.1,52.3,75.0,936.6,9.0,5.3,1.8,1.0,0.8,0.0,0.1,11.2,1.9,0.6,0.2,12.1,0.0,20.0,39.3,0.6,53.8,147.7
27,"Benjamin, Kelvin",CAR,WR,112.4,36.6,63.5,900.7,9.4,3.0,2.6,1.3,0.2,1.4,0.9,10.1,1.8,0.6,0.2,13.0,0.0,22.5,0.0,0.6,40.1,146.5
28,"Edelman, Julian",NEP,WR,143.3,46.2,95.3,1049.7,5.9,2.0,2.5,0.4,0.0,0.0,1.0,11.2,2.1,0.7,0.3,40.2,0.0,187.1,44.5,0.8,47.4,142.9
29,"Floyd, Michael",ARZ,WR,113.8,30.1,58.7,984.1,7.1,2.5,0.7,1.0,0.9,1.1,0.8,11.9,2.0,0.7,0.2,5.2,0.0,0.0,0.0,0.0,33.3,141.5
30,"Hurns, Allen",JAC,WR,113.7,37.1,64.7,915.3,8.4,2.9,1.6,0.6,1.3,0.6,1.4,10.7,1.8,0.6,0.2,0.0,0.0,7.3,0.0,0.5,36.7,141.4
31,"Lockett, Tyler",SEA,WR,95.9,21.4,62.6,924.7,7.7,1.2,1.5,2.1,1.5,1.3,0.0,8.7,1.8,0.6,0.2,31.9,0.0,376.5,618.7,0.6,28.1,140.7
32,"Matthews, Jordan",PHI,WR,102.5,33.1,69.0,901.6,8.4,3.4,2.0,1.2,0.0,1.0,0.9,10.1,1.8,0.6,0.2,0.0,0.0,0.0,0.0,0.7,34.5,139.2
33,"Jackson, DeSean",WAS,WR,84.8,28.7,55.9,945.0,7.6,1.5,0.9,1.1,0.0,0.7,3.4,10.0,1.9,0.6,0.2,5.3,0.0,11.1,8.7,1.1,33.1,138.7
34,"Parker, DeVante",MIA,WR,102.0,24.0,58.5,965.7,6.0,1.0,1.0,0.0,2.0,1.0,1.0,11.4,1.9,0.6,0.2,13.4,0.0,57.8,185.8,0.3,25.8,134.0
35,"Jackson, Vincent",TBB,WR,139.7,48.7,75.5,1094.9,4.0,1.5,2.1,0.5,0.0,0.0,0.0,7.9,2.2,0.7,0.3,0.0,0.0,0.0,0.0,0.8,47.8,133.8
36,"Maclin, Jeremy",KCC,WR,108.7,36.1,72.7,888.7,6.3,1.8,3.0,1.2,0.0,0.4,0.0,10.6,1.8,0.6,0.2,12.2,0.0,8.6,0.0,0.9,38.7,126.1
37,"Brown, John",ARZ,WR,106.5,31.0,59.7,901.1,6.0,2.4,2.5,0.0,0.0,0.0,1.1,10.1,1.8,0.6,0.2,13.9,0.0,0.0,0.0,0.7,33.8,125.9
38,"Crabtree, Michael",OAK,WR,143.0,50.9,77.4,800.6,7.4,2.2,0.0,2.6,2.3,0.3,0.0,7.2,1.6,0.5,0.2,0.0,0.0,0.0,0.0,0.0,49.9,124.3
39,"Matthews, Rishard",TEN,WR,102.4,32.0,60.4,922.4,5.4,2.1,1.5,0.0,0.0,0.8,1.0,11.7,1.8,0.6,0.2,10.9,0.0,38.6,0.0,1.1,32.1,123.8
40,"Smith, Torrey",SFO,WR,94.1,24.2,51.0,784.1,7.1,1.2,2.8,0.3,0.2,0.0,2.6,7.1,1.6,0.5,0.2,2.5,0.2,7.0,14.6,0.9,25.4,122.2
41,"Diggs, Stefon",MIN,WR,105.4,34.4,63.3,812.5,5.6,0.4,1.8,0.2,2.1,1.0,0.0,6.8,1.6,0.5,0.2,19.7,0.0,0.0,42.2,0.0,32.7,117.2
42,"White, Kevin",CHI,WR,110.0,37.0,67.0,765.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,1.9,0.9,0.3,0.1,-2.6,0.0,83.6,51.2,0.0,20.0,112.2
43,"Austin, Tavon",RAM,WR,82.0,23.3,45.7,426.5,3.0,0.6,1.4,0.0,0.0,0.2,0.9,1.7,0.9,0.3,0.1,300.5,3.9,291.3,14.0,1.2,34.6,111.7
44,"Shepard, Sterling",NYG,WR,98.3,37.9,56.6,698.1,6.6,3.2,0.3,2.0,0.4,0.6,0.0,2.8,1.4,0.5,0.2,2.2,0.0,57.1,80.1,0.0,35.7,109.3
45,"Benjamin, Travis",SDC,WR,113.0,31.7,57.2,745.6,6.0,0.0,1.0,1.0,2.0,1.0,1.0,5.5,1.5,0.5,0.2,17.3,0.0,119.9,0.0,1.5,28.7,109.3
46,"Jones, Marvin",DET,WR,114.2,37.1,65.2,808.8,4.2,0.7,1.1,1.7,0.0,0.6,0.0,7.7,1.6,0.5,0.2,21.0,0.0,8.0,0.0,0.3,40.3,107.6
47,"Snead, Willie",NOR,WR,100.0,21.4,66.1,936.1,2.2,0.4,0.7,0.6,0.4,0.0,0.0,11.7,1.9,0.6,0.2,1.4,0.0,4.0,0.0,0.5,20.4,106.1
48,"Aiken, Kamar",BAL,WR,112.4,36.0,63.4,797.3,4.7,2.5,2.1,0.0,0.0,0.2,0.0,6.7,1.6,0.5,0.2,-4.6,0.0,0.0,0.0,0.8,37.1,105.7
49,"Treadwell, Laquon",MIN,WR,100.0,27.0,63.0,745.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,2.5,1.2,0.4,0.2,11.5,0.0,0.0,9.2,1.2,22.2,103.2
50,"Garcon, Pierre",WAS,WR,114.6,45.6,69.3,771.7,4.3,4.1,0.2,0.0,0.0,0.0,0.0,6.1,1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,45.4,103.0
51,"Funchess, Devin",CAR,WR,82.4,27.9,42.2,634.0,6.7,2.4,3.3,0.5,0.2,0.0,0.3,2.5,1.3,0.4,0.2,0.2,0.0,30.1,0.0,0.6,24.8,102.5
52,"Britt, Kenny",RAM,WR,89.2,22.8,45.7,814.5,3.4,0.0,0.2,1.6,0.0,0.5,1.2,8.3,1.6,0.5,0.2,2.5,0.0,2.6,0.0,0.0,25.7,102.3
53,"Smith, Steve",BAL,WR,99.8,25.0,57.4,765.0,4.4,1.2,0.6,0.6,0.6,0.6,0.6,8.1,1.5,0.5,0.2,0.0,0.0,10.9,0.0,0.3,27.0,102.1
54,"Coleman, Corey",CLE,WR,110.3,32.9,59.5,718.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,4.9,1.4,0.5,0.2,9.1,0.0,36.7,105.0,0.4,30.1,101.8
55,"Wheaton, Markus",PIT,WR,88.6,22.8,51.6,731.7,4.8,3.3,0.2,0.2,0.0,0.0,1.1,3.4,1.5,0.5,0.2,7.0,0.0,23.1,255.8,1.0,20.5,101.8
56,"Kearse , Jermaine",SEA,WR,63.0,14.9,46.0,624.8,5.6,1.1,2.1,1.1,0.8,0.2,0.4,5.9,1.2,0.4,0.2,1.0,0.0,11.6,75.0,0.1,15.6,96.0
57,"Inman, Dontrelle",SDC,WR,104.6,27.8,56.1,764.5,3.3,3.3,0.0,0.0,0.0,0.0,0.0,6.6,1.5,0.5,0.2,3.3,0.0,14.3,56.0,0.5,30.5,95.7
58,"Williams, Terrance",DAL,WR,90.5,23.0,45.0,655.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,10.0,1.7,0.6,0.2,0.0,0.0,0.0,5.9,0.0,23.6,95.5
59,"Woods, Robert",BUF,WR,98.5,30.4,59.1,693.4,4.4,2.2,0.4,0.5,1.0,0.0,0.2,2.8,1.4,0.5,0.2,1.1,0.0,5.7,0.0,1.1,30.3,94.4
60,"Ginn Jr., Ted",CAR,WR,86.8,27.4,38.0,635.1,4.0,0.0,1.0,1.0,0.0,1.0,1.0,2.5,1.3,0.4,0.2,27.5,0.7,130.1,0.0,0.0,28.5,94.2
61,"Adams, Davante",GBP,WR,111.2,34.2,61.7,666.3,4.3,1.6,1.6,0.3,0.2,0.5,0.0,2.7,1.3,0.4,0.2,2.4,0.0,0.0,15.1,0.0,30.9,94.1
62,"Fuller, Will",HOU,WR,113.7,33.3,60.3,718.0,3.2,1.3,1.3,0.0,0.0,0.6,0.0,3.9,1.4,0.5,0.2,17.4,0.0,2.9,0.0,0.8,31.7,91.0
63,"Gordon, Josh",CLE,WR,90.0,27.0,48.8,618.8,4.5,0.8,0.8,0.0,0.8,1.5,0.8,0.0,1.3,0.4,0.2,6.4,0.0,26.9,26.2,0.3,25.4,88.9
64,"Boyd, Tyler",CIN,WR,84.3,28.2,50.6,627.9,3.0,0.7,0.8,0.8,0.0,0.4,0.4,2.5,1.3,0.4,0.2,31.4,0.8,28.4,23.6,0.4,32.7,88.9
65,"Thomas, Michael",NOR,WR,75.0,20.0,44.0,620.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6,0.8,0.3,0.1,-1.9,0.0,0.0,0.0,0.0,10.9,85.8
66,"Boldin, Anquan",DET,WR,94.5,27.4,56.7,650.4,3.2,0.4,1.4,0.4,1.0,0.0,0.0,2.6,1.3,0.4,0.2,2.7,0.0,15.8,0.0,0.8,26.7,82.9
67,"Hogan, Chris",NEP,WR,92.3,33.4,54.8,650.0,3.1,2.4,0.0,0.0,0.7,0.0,0.0,2.6,1.3,0.4,0.2,8.1,0.0,58.1,167.6,1.1,33.7,82.0
68,"Miller, Braxton",HOU,WR,80.0,23.0,47.0,575.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,0.0,0.0,50.1,89.6,0.0,13.1,81.5
69,"Doctson, Josh",WAS,WR,75.0,18.8,42.2,539.1,4.6,0.9,1.9,0.0,0.9,0.0,0.9,2.5,1.2,0.4,0.2,-3.0,0.0,13.6,54.0,0.0,25.2,81.4
70,"Beasley, Cole",DAL,WR,70.7,28.0,48.6,529.6,5.1,2.9,0.8,0.9,0.0,0.5,0.0,2.1,1.1,0.4,0.1,0.0,0.0,36.8,0.0,1.3,26.8,81.0
71,"Sharpe, Tajae",TEN,WR,75.0,15.0,42.0,525.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,0.3,0.0,27.0,15.2,0.0,15.2,77.7
72,"Stills, Kenny",MIA,WR,80.0,23.9,45.1,646.9,2.1,0.0,0.5,1.0,0.0,0.5,0.1,2.6,1.3,0.4,0.2,0.0,0.0,10.2,61.1,0.2,24.3,77.2
73,"Dorsett, Phillip",IND,WR,112.8,25.1,57.6,630.0,2.1,0.1,0.9,0.0,1.1,0.0,0.0,2.5,1.3,0.4,0.2,32.7,0.0,16.7,80.7,1.2,23.7,76.5
74,"Wilson, Albert",KCC,WR,79.4,22.1,44.9,554.1,2.5,0.0,1.3,0.0,0.0,1.1,0.0,2.2,1.1,0.4,0.1,39.4,0.0,8.3,9.7,0.0,23.9,74.1
75,"Roberts, Seth",OAK,WR,60.9,18.4,32.9,465.9,4.1,0.0,4.1,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,0.9,0.0,0.0,52.2,0.0,17.0,74.0
76,"Sanu, Mohamed",ATL,WR,67.8,18.3,44.1,505.7,1.3,1.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,41.2,1.4,0.0,1.0,0.0,19.9,70.4
77,"Randle, Rueben",PHI,WR,50.1,18.5,28.4,414.8,4.7,1.2,0.4,0.8,0.0,1.5,0.8,1.7,0.8,0.3,0.1,0.0,0.0,0.0,20.6,0.0,20.2,69.7
78,"Green-Beckham, Dorial",PHI,WR,79.3,22.3,34.0,495.0,3.2,2.2,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,0.0,0.0,0.0,93.0,0.4,22.3,69.2
79,"Amendola, Danny",NEP,WR,71.2,23.2,50.7,509.7,2.5,1.5,0.7,0.0,0.0,0.0,0.4,2.4,1.0,0.3,0.1,9.5,0.0,195.8,241.7,0.0,21.4,67.1
80,"Pryor, Terrelle",CLE,WR,76.3,21.3,35.8,485.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.9,1.0,0.3,0.1,1.0,0.0,32.4,54.9,0.1,16.8,66.7
81,"Hardy, Justin",ATL,WR,96.1,35.4,60.2,559.8,1.6,1.6,0.0,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,15.0,105.6,0.0,31.2,66.3
82,"Mitchell, Malcolm",NEP,WR,75.0,18.0,42.0,475.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,4.1,0.0,49.0,25.7,0.0,3.0,65.9
83,"Patton, Quinton",SFO,WR,81.0,13.3,42.6,589.8,1.0,0.0,0.0,0.7,0.0,0.0,0.2,2.4,1.2,0.4,0.1,0.9,0.0,0.0,163.7,0.0,12.6,65.0
84,"Coleman, Brandon",NOR,WR,51.4,9.3,33.4,508.6,1.9,0.0,0.8,1.1,0.0,0.0,0.0,2.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.2,9.3,62.1
85,"Brown, Philly",CAR,WR,57.0,15.5,31.8,432.6,2.6,0.6,0.3,0.6,0.9,0.0,0.1,1.7,0.9,0.3,0.1,28.5,0.0,0.0,0.0,0.0,16.5,61.6
86,"Greene, Rashad",JAC,WR,85.3,27.2,42.4,383.8,3.5,2.8,0.6,0.1,0.0,0.0,0.0,1.5,0.8,0.3,0.1,16.0,0.0,73.0,0.1,0.0,26.3,60.7
87,"Agholor, Nelson",PHI,WR,74.2,22.7,40.2,498.2,2.2,0.2,0.5,0.2,0.0,0.0,1.2,2.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,1.2,19.2,60.6
88,"Conley, Chris",KCC,WR,82.6,35.1,41.9,435.1,2.6,2.6,0.0,0.0,0.0,0.0,0.0,1.7,0.9,0.3,0.1,2.9,0.0,61.8,32.6,0.0,30.1,59.7
89,"Jones, James",SDC,WR,57.5,15.2,21.7,375.0,2.9,0.7,0.4,0.8,0.7,0.0,0.4,1.5,0.7,0.2,0.1,0.0,0.0,13.6,32.8,0.0,13.3,57.2
90,"Wright, Kendall",TEN,WR,68.5,25.1,36.8,401.3,2.7,1.2,0.9,0.0,0.0,0.0,0.6,1.6,0.8,0.3,0.1,8.6,0.0,9.8,6.1,0.3,27.4,56.3
91,"Huff, Josh",PHI,WR,54.4,22.2,32.9,397.6,2.6,0.9,0.2,0.0,0.7,0.7,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,488.5,0.6,22.2,54.2
